Date,High,Low,Open,Close,Volume,Adj Close,GD-15ma,GD-50ma,GD-100ma,GD-200ma
2000-01-03,26.0625,24.5,26.0625,24.53125,1925600.0,16.427995681762695,16.427995681762695,16.427995681762695,16.427995681762695,16.427995681762695
2000-01-04,25.90625,25.1875,25.5,25.5625,2649600.0,17.118602752685547,16.77329921722412,16.77329921722412,16.77329921722412,16.77329921722412
2000-01-05,28.1875,25.9375,26.0,27.3125,3474800.0,18.2905330657959,17.279043833414715,17.279043833414715,17.279043833414715,17.279043833414715
2000-01-06,27.78125,27.0,27.3125,27.40625,2897000.0,18.353317260742188,17.547612190246582,17.547612190246582,17.547612190246582,17.547612190246582
2000-01-07,28.78125,27.59375,27.625,28.125,2273400.0,18.834644317626953,17.805018615722656,17.805018615722656,17.805018615722656,17.805018615722656
2000-01-10,28.625,27.625,28.3125,27.875,2437600.0,18.667234420776367,17.948721249898274,17.948721249898274,17.948721249898274,17.948721249898274
2000-01-11,27.78125,27.3125,27.75,27.5,798400.0,18.41609764099121,18.015489305768693,18.015489305768693,18.015489305768693,18.015489305768693
2000-01-12,27.28125,26.375,27.1875,26.5,2704800.0,17.82420539855957,17.991578817367554,17.991578817367554,17.991578817367554,17.991578817367554
2000-01-13,27.1875,26.0625,27.0,26.5,1233000.0,17.82420539855957,17.972981770833332,17.972981770833332,17.972981770833332,17.972981770833332
2000-01-14,27.1875,26.03125,26.75,26.6875,1270200.0,17.950319290161133,17.970715522766113,17.970715522766113,17.970715522766113,17.970715522766113
2000-01-18,26.59375,25.75,25.8125,25.90625,1846000.0,17.42483901977539,17.921090386130594,17.921090386130594,17.921090386130594,17.921090386130594
2000-01-19,25.8125,25.0625,25.625,25.375,1348800.0,17.067514419555664,17.849959055582683,17.849959055582683,17.849959055582683,17.849959055582683
2000-01-20,25.28125,24.34375,25.25,24.6640625,1827200.0,16.589330673217773,17.75298764155461,17.75298764155461,17.75298764155461,17.75298764155461
2000-01-21,24.875,24.625,24.8125,24.6875,1740400.0,16.605093002319336,17.67099516732352,17.67099516732352,17.67099516732352,17.67099516732352
2000-01-24,25.0,22.875,24.8125,23.21875,1681600.0,15.617197036743164,17.5340752919515,17.5340752919515,17.5340752919515,17.5340752919515
2000-01-25,23.6875,22.6875,23.21875,23.53125,2450000.0,15.827390670776367,17.49403495788574,17.42740750312805,17.42740750312805,17.42740750312805
2000-01-26,23.90625,22.84375,23.65625,23.46875,2838600.0,15.78535270690918,17.40515162150065,17.33081604452694,17.33081604452694,17.33081604452694
2000-01-27,24.5,23.40625,24.46875,23.5,2105400.0,15.806371688842773,17.23954086303711,17.246124691433376,17.246124691433376,17.246124691433376
2000-01-28,24.0,23.3125,23.625,23.625,2294600.0,15.890440940856934,17.07534910837809,17.17477291508725,17.17477291508725,17.17477291508725
2000-01-31,23.65625,23.0,23.5625,23.5625,808800.0,15.848410606384277,16.876266860961913,17.1084547996521,17.1084547996521,17.1084547996521
2000-02-01,24.21875,23.21875,23.625,24.15625,1133600.0,16.247770309448242,16.71496925354004,17.067469823928107,17.067469823928107,17.067469823928107
2000-02-02,24.71875,23.65625,24.5625,23.75,1519800.0,15.974515914916992,16.552197138468426,17.017790100791238,17.017790100791238,17.017790100791238
2000-02-03,24.1875,22.9375,24.125,23.125,1770400.0,15.554140090942383,16.400859451293947,16.95415314384129,16.95415314384129,16.95415314384129
2000-02-04,23.625,22.75,23.3125,22.78125,2248000.0,15.322930335998535,16.234107780456544,16.88618552684784,16.88618552684784,16.88618552684784
2000-02-07,23.0625,21.125,23.03125,22.25,5385800.0,14.965604782104492,16.035126813252766,16.809362297058104,16.809362297058104,16.809362297058104
2000-02-08,22.3125,21.34375,22.0625,21.5,4143400.0,14.46114730834961,15.837547365824381,16.719046335953934,16.719046335953934,16.719046335953934
2000-02-09,21.25,20.46875,21.25,20.875,3313800.0,14.040770530700684,15.635764439900717,16.619850935759366,16.619850935759366,16.619850935759366
2000-02-10,21.625,20.84375,20.90625,21.09375,1207200.0,14.187899589538574,15.475669034322102,16.532995530537196,16.532995530537196,16.532995530537196
2000-02-11,21.09375,20.71875,21.0625,20.71875,1554000.0,13.935664176940918,15.297707112630208,16.44343238041319,16.44343238041319,16.44343238041319
2000-02-14,21.03125,20.5,21.0,20.78125,1143000.0,13.977710723876953,15.188408025105794,16.361241658528645,16.361241658528645,16.361241658528645
2000-02-15,21.0,20.4375,20.78125,20.65625,2330000.0,13.893630981445312,15.059490712483724,16.281641314106604,16.281641314106604,16.281641314106604
2000-02-16,21.15625,20.625,21.0,20.78125,1300200.0,13.977710723876953,14.938981246948241,16.209643483161926,16.209643483161926,16.209643483161926
2000-02-17,21.6875,20.71875,20.8125,21.5625,2013000.0,14.503183364868164,14.852102025349934,16.15793257048636,16.15793257048636,16.15793257048636
2000-02-18,21.65625,20.71875,21.625,20.9375,1899800.0,14.082806587219238,14.731593068440755,16.096899453331442,16.096899453331442,16.096899453331442
2000-02-22,21.75,20.9375,21.0,21.5,1008000.0,14.46114730834961,14.639108848571777,16.050163677760533,16.050163677760533,16.050163677760533
2000-02-23,21.75,21.28125,21.625,21.5625,1118400.0,14.503183364868164,14.522803052266438,16.007192002402412,16.007192002402412,16.007192002402412
2000-02-24,21.53125,20.78125,21.5,21.125,2636400.0,14.2089204788208,14.405096689860025,15.958590069332638,15.958590069332638,15.958590069332638
2000-02-25,21.71875,21.0625,21.09375,21.46875,991600.0,14.440130233764648,14.330829366048176,15.918630599975586,15.918630599975586,15.918630599975586
2000-02-28,21.71875,21.1875,21.59375,21.53125,735400.0,14.482161521911621,14.274778111775715,15.881798059512407,15.881798059512407,15.881798059512407
2000-02-29,21.96875,21.375,21.5,21.625,1157800.0,14.545228004455566,14.246752993265789,15.848383808135987,15.848383808135987,15.848383808135987
2000-03-01,21.625,21.09375,21.625,21.1875,1504800.0,14.250955581665039,14.232740211486817,15.80942214407572,15.80942214407572,15.80942214407572
2000-03-02,21.15625,20.40625,21.125,20.5625,1727200.0,13.830572128295898,14.218726984659831,15.762306667509533,15.762306667509533,15.762306667509533
2000-03-03,20.5625,19.375,20.5625,19.4375,3978600.0,13.073885917663574,14.14445940653483,15.699785254722418,15.699785254722418,15.699785254722418
